,rounds,colors,minimum,maximum,exposure,refexp,location
R0c2,R0,c2,1003,65535,50.0,50.0,
R0c3,R0,c3,1003,65535,200.0,200.0,
R0c4,R0,c4,1003,65535,500.0,500.0,
R0c5,R0,c5,1003,65535,500.0,500.0,
CD20,R1,c2,1003,65535,100.0,100.0,Ring
CD8,R1,c3,1003,65535,500.0,500.0,Ring
CD4,R1,c4,1003,65535,250.0,250.0,Ring
CK19,R1,c5,1002,65535,60.0,60.0,Ring
PCNA,R2,c2,1003,65535,50.0,50.0,Nuclei
HER2,R2,c3,1003,65535,50.0,50.0,Ring
ER,R2,c4,1003,65535,500.0,500.0,Nuclei
CD45,R2,c5,2502,65535,500.0,500.0,Ring
pHH3,R3,c2,1003,65535,20.0,20.0,Nuclei
CK14,R3,c3,2002,65535,40.0,40.0,Ring
CD44,R3,c4,1502,65535,75.0,75.0,Ring
CK5,R3,c5,1002,65535,40.0,40.0,Ring
Vim,R4,c2,1003,65535,20.0,20.0,Ring
CK7,R4,c3,502,65535,35.0,35.0,Ring
PD1,R4,c4,1003,65535,800.0,800.0,Ring
LamAC,R4,c5,1003,65535,250.0,250.0,Nuclei
aSMA,R5,c2,1003,65535,50.0,50.0,Ring
CD68,R5,c3,1003,65535,200.0,200.0,Ring
Ki67,R5,c4,1003,65535,400.0,400.0,Nuclei
Ecad,R5,c5,2002,65535,200.0,200.0,Ring
CK17,R6,c2,1003,65535,30.0,30.0,Ring
PDPN,R6,c3,1003,65535,500.0,500.0,Ring
CD31,R6,c4,1003,65535,250.0,250.0,Ring
CD3,R6,c5,1003,65535,400.0,400.0,Ring
CK5P,R7,c2,1003,65535,30.0,30.0,
CD8R,R7,c3,1003,65535,500.0,500.0,
CD4R,R7,c4,1003,65535,250.0,250.0,
CD20P,R7,c5,1003,65535,500.0,500.0,
LamB1,R8,c2,1003,65535,30.0,30.0,Nuclei
AR,R8,c3,1003,65535,250.0,250.0,Nuclei
ColIV,R8,c4,1003,65535,200.0,200.0,Ring
ColI,R8,c5,1003,65535,20.0,20.0,Ring
R8Qc2,R8Q,c2,1003,65535,50.0,50.0,
R8Qc3,R8Q,c3,1003,65535,200.0,200.0,
R8Qc4,R8Q,c4,1003,65535,500.0,500.0,
R8Qc5,R8Q,c5,1003,65535,500.0,500.0,
