,rounds,color,imagetype,scene,marker
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-017_c1_ORG.tif,R1,c1,ORG,BM-Her2N75-18-Scene-017,DAPI
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-017_c2_ORG.tif,R1,c2,ORG,BM-Her2N75-18-Scene-017,CD20
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-017_c3_ORG.tif,R1,c3,ORG,BM-Her2N75-18-Scene-017,CD8
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-017_c4_ORG.tif,R1,c4,ORG,BM-Her2N75-18-Scene-017,CD4
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-017_c5_ORG.tif,R1,c5,ORG,BM-Her2N75-18-Scene-017,CK19
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-049_c1_ORG.tif,R1,c1,ORG,BM-Her2N75-18-Scene-049,DAPI
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-049_c2_ORG.tif,R1,c2,ORG,BM-Her2N75-18-Scene-049,CD20
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-049_c3_ORG.tif,R1,c3,ORG,BM-Her2N75-18-Scene-049,CD8
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-049_c4_ORG.tif,R1,c4,ORG,BM-Her2N75-18-Scene-049,CD4
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-049_c5_ORG.tif,R1,c5,ORG,BM-Her2N75-18-Scene-049,CK19
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-059_c1_ORG.tif,R1,c1,ORG,BM-Her2N75-18-Scene-059,DAPI
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-059_c2_ORG.tif,R1,c2,ORG,BM-Her2N75-18-Scene-059,CD20
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-059_c3_ORG.tif,R1,c3,ORG,BM-Her2N75-18-Scene-059,CD8
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-059_c4_ORG.tif,R1,c4,ORG,BM-Her2N75-18-Scene-059,CD4
Registered-R1_CD20.CD8.CD4.CK19_BM-Her2N75-18-Scene-059_c5_ORG.tif,R1,c5,ORG,BM-Her2N75-18-Scene-059,CK19
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-017_c1_ORG.tif,R2,c1,ORG,BM-Her2N75-18-Scene-017,DAPI
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-017_c2_ORG.tif,R2,c2,ORG,BM-Her2N75-18-Scene-017,PCNA
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-017_c3_ORG.tif,R2,c3,ORG,BM-Her2N75-18-Scene-017,Her2
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-017_c4_ORG.tif,R2,c4,ORG,BM-Her2N75-18-Scene-017,ER
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-017_c5_ORG.tif,R2,c5,ORG,BM-Her2N75-18-Scene-017,CD45
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-049_c1_ORG.tif,R2,c1,ORG,BM-Her2N75-18-Scene-049,DAPI
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-049_c2_ORG.tif,R2,c2,ORG,BM-Her2N75-18-Scene-049,PCNA
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-049_c3_ORG.tif,R2,c3,ORG,BM-Her2N75-18-Scene-049,Her2
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-049_c4_ORG.tif,R2,c4,ORG,BM-Her2N75-18-Scene-049,ER
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-049_c5_ORG.tif,R2,c5,ORG,BM-Her2N75-18-Scene-049,CD45
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-059_c1_ORG.tif,R2,c1,ORG,BM-Her2N75-18-Scene-059,DAPI
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-059_c2_ORG.tif,R2,c2,ORG,BM-Her2N75-18-Scene-059,PCNA
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-059_c3_ORG.tif,R2,c3,ORG,BM-Her2N75-18-Scene-059,Her2
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-059_c4_ORG.tif,R2,c4,ORG,BM-Her2N75-18-Scene-059,ER
Registered-R2_PCNA.Her2.ER.CD45_BM-Her2N75-18-Scene-059_c5_ORG.tif,R2,c5,ORG,BM-Her2N75-18-Scene-059,CD45
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-017_c1_ORG.tif,R3,c1,ORG,BM-Her2N75-18-Scene-017,DAPI
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-017_c2_ORG.tif,R3,c2,ORG,BM-Her2N75-18-Scene-017,pH3
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-017_c3_ORG.tif,R3,c3,ORG,BM-Her2N75-18-Scene-017,CK14
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-017_c4_ORG.tif,R3,c4,ORG,BM-Her2N75-18-Scene-017,CD44
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-017_c5_ORG.tif,R3,c5,ORG,BM-Her2N75-18-Scene-017,CK5
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-049_c1_ORG.tif,R3,c1,ORG,BM-Her2N75-18-Scene-049,DAPI
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-049_c2_ORG.tif,R3,c2,ORG,BM-Her2N75-18-Scene-049,pH3
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-049_c3_ORG.tif,R3,c3,ORG,BM-Her2N75-18-Scene-049,CK14
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-049_c4_ORG.tif,R3,c4,ORG,BM-Her2N75-18-Scene-049,CD44
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-049_c5_ORG.tif,R3,c5,ORG,BM-Her2N75-18-Scene-049,CK5
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-059_c1_ORG.tif,R3,c1,ORG,BM-Her2N75-18-Scene-059,DAPI
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-059_c2_ORG.tif,R3,c2,ORG,BM-Her2N75-18-Scene-059,pH3
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-059_c3_ORG.tif,R3,c3,ORG,BM-Her2N75-18-Scene-059,CK14
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-059_c4_ORG.tif,R3,c4,ORG,BM-Her2N75-18-Scene-059,CD44
Registered-R3_pH3.CK14.CD44.CK5_BM-Her2N75-18-Scene-059_c5_ORG.tif,R3,c5,ORG,BM-Her2N75-18-Scene-059,CK5
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-017_c1_ORG.tif,R4,c1,ORG,BM-Her2N75-18-Scene-017,DAPI
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-017_c2_ORG.tif,R4,c2,ORG,BM-Her2N75-18-Scene-017,Vim
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-017_c3_ORG.tif,R4,c3,ORG,BM-Her2N75-18-Scene-017,CK7
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-017_c4_ORG.tif,R4,c4,ORG,BM-Her2N75-18-Scene-017,PD1
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-017_c5_ORG.tif,R4,c5,ORG,BM-Her2N75-18-Scene-017,LaminAC
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-049_c1_ORG.tif,R4,c1,ORG,BM-Her2N75-18-Scene-049,DAPI
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-049_c2_ORG.tif,R4,c2,ORG,BM-Her2N75-18-Scene-049,Vim
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-049_c3_ORG.tif,R4,c3,ORG,BM-Her2N75-18-Scene-049,CK7
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-049_c4_ORG.tif,R4,c4,ORG,BM-Her2N75-18-Scene-049,PD1
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-049_c5_ORG.tif,R4,c5,ORG,BM-Her2N75-18-Scene-049,LaminAC
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-059_c1_ORG.tif,R4,c1,ORG,BM-Her2N75-18-Scene-059,DAPI
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-059_c2_ORG.tif,R4,c2,ORG,BM-Her2N75-18-Scene-059,Vim
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-059_c3_ORG.tif,R4,c3,ORG,BM-Her2N75-18-Scene-059,CK7
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-059_c4_ORG.tif,R4,c4,ORG,BM-Her2N75-18-Scene-059,PD1
Registered-R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-18-Scene-059_c5_ORG.tif,R4,c5,ORG,BM-Her2N75-18-Scene-059,LaminAC
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-017_c1_ORG.tif,R5,c1,ORG,BM-Her2N75-18-Scene-017,DAPI
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-017_c2_ORG.tif,R5,c2,ORG,BM-Her2N75-18-Scene-017,aSMA
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-017_c3_ORG.tif,R5,c3,ORG,BM-Her2N75-18-Scene-017,CD68
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-017_c4_ORG.tif,R5,c4,ORG,BM-Her2N75-18-Scene-017,Ki67
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-017_c5_ORG.tif,R5,c5,ORG,BM-Her2N75-18-Scene-017,E-Cad
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-049_c1_ORG.tif,R5,c1,ORG,BM-Her2N75-18-Scene-049,DAPI
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-049_c2_ORG.tif,R5,c2,ORG,BM-Her2N75-18-Scene-049,aSMA
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-049_c3_ORG.tif,R5,c3,ORG,BM-Her2N75-18-Scene-049,CD68
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-049_c4_ORG.tif,R5,c4,ORG,BM-Her2N75-18-Scene-049,Ki67
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-049_c5_ORG.tif,R5,c5,ORG,BM-Her2N75-18-Scene-049,E-Cad
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-059_c1_ORG.tif,R5,c1,ORG,BM-Her2N75-18-Scene-059,DAPI
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-059_c2_ORG.tif,R5,c2,ORG,BM-Her2N75-18-Scene-059,aSMA
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-059_c3_ORG.tif,R5,c3,ORG,BM-Her2N75-18-Scene-059,CD68
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-059_c4_ORG.tif,R5,c4,ORG,BM-Her2N75-18-Scene-059,Ki67
Registered-R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-18-Scene-059_c5_ORG.tif,R5,c5,ORG,BM-Her2N75-18-Scene-059,E-Cad
